name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
/model/layers.0/input_layernorm/Mul_1_kernel_time,Mul,CPUExecutionProvider,43,46,2097152,2097152,"[{""float"": [2048]}, {""float"": [1, 256, 2048]}]","[{""float"": [1, 256, 2048]}]"
/model/layers.0/input_layernorm/Mul_1_output_0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,47,139,2097152,524293,"[{""float"": [1, 256, 2048]}]","[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""uint8"": []}]"
/model/layers.0/self_attn/k_proj/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1982,1098,524293,524288,"[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""float"": []}, {""uint8"": []}, {""int8"": []}]","[{""float"": [1, 256, 512]}]"
/model/layers.0/self_attn/Shape_kernel_time,Shape,CPUExecutionProvider,46,1,2097152,24,"[{""float"": [1, 256, 2048]}]","[{""int64"": [3]}]"
/model/layers.0/self_attn/Gather_1_kernel_time,Gather,CPUExecutionProvider,63,1,24,8,"[{""int64"": [3]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_1_kernel_time,Unsqueeze,CPUExecutionProvider,67,1,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/layers.0/self_attn/Gather_kernel_time,Gather,CPUExecutionProvider,62,1,24,8,"[{""int64"": [3]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_kernel_time,Unsqueeze,CPUExecutionProvider,66,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/layers.0/self_attn/Concat_1_kernel_time,Concat,CPUExecutionProvider,72,4,16,32,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [4]}]"
/model/layers.0/self_attn/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,79,1,524320,524288,"[{""float"": [1, 256, 512]}, {""int64"": [4]}]","[{""float"": [1, 256, 8, 64]}]"
/model/layers.0/self_attn/Transpose_1_kernel_time,Transpose,CPUExecutionProvider,87,36,524288,524288,"[{""float"": [1, 256, 8, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/layers.0/self_attn/Slice_3/GatherSliceToSplitFusion_kernel_time,Split,CPUExecutionProvider,2156,28,524288,524288,"[{""float"": [1, 8, 256, 64]}, {""int64"": [2]}]","[{""float"": [1, 8, 256, 32]}, {""float"": [1, 8, 256, 32]}]"
/model/layers.0/self_attn/Neg_1_kernel_time,Neg,CPUExecutionProvider,107,19,262144,262144,"[{""float"": [1, 8, 256, 32]}]","[{""float"": [1, 8, 256, 32]}]"
/model/layers.0/self_attn/Concat_4_kernel_time,Concat,CPUExecutionProvider,113,33,524288,524288,"[{""float"": [1, 8, 256, 32]}, {""float"": [1, 8, 256, 32]}]","[{""float"": [1, 8, 256, 64]}]"
/model/rotary_emb/Shape_kernel_time,Shape,CPUExecutionProvider,3,0,2048,16,"[{""int64"": [1, 256]}]","[{""int64"": [2]}]"
/model/rotary_emb/Gather_kernel_time,Gather,CPUExecutionProvider,11,1,16,8,"[{""int64"": [2]}, {""int64"": []}]","[{""int64"": []}]"
/model/rotary_emb/Unsqueeze_kernel_time,Unsqueeze,CPUExecutionProvider,18,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/rotary_emb/Concat_kernel_time,Concat,CPUExecutionProvider,25,1,8,24,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [3]}]"
/model/rotary_emb/Equal_kernel_time,Equal,CPUExecutionProvider,31,1,24,3,"[{""int64"": [3]}, {""int64"": [3]}]","[{""bool"": [3]}]"
/model/rotary_emb/Where_kernel_time,Where,CPUExecutionProvider,36,9,27,24,"[{""bool"": [3]}, {""int64"": [3]}, {""int64"": [3]}]","[{""int64"": [3]}]"
/model/rotary_emb/Expand_kernel_time,Expand,CPUExecutionProvider,41,1,24,128,"[{""float"": [1, 32, 1]}, {""int64"": [3]}]","[{""float"": [1, 32, 1]}]"
/model/rotary_emb/Unsqueeze_1_kernel_time,Unsqueeze,CPUExecutionProvider,6,0,2048,2048,"[{""int64"": [1, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 256]}]"
/model/rotary_emb/Cast_kernel_time,Cast,CPUExecutionProvider,13,58,2048,1024,"[{""int64"": [1, 1, 256]}]","[{""float"": [1, 1, 256]}]"
/model/rotary_emb/MatMul_kernel_time,MatMul,CPUExecutionProvider,44,10,1152,32768,"[{""float"": [1, 32, 1]}, {""float"": [1, 1, 256]}]","[{""float"": [1, 32, 256]}]"
/model/rotary_emb/Concat_1_kernel_time,Concat,CPUExecutionProvider,64,5,65536,65536,"[{""float"": [1, 32, 256]}, {""float"": [1, 32, 256]}]","[{""float"": [1, 64, 256]}]"
Transpose_kernel_time,Transpose,CPUExecutionProvider,1981,6,65536,65536,"[{""float"": [1, 64, 256]}]","[{""float"": [1, 256, 64]}]"
/model/rotary_emb/Sin_kernel_time,Sin,CPUExecutionProvider,69,11,65536,65536,"[{""float"": [1, 256, 64]}]","[{""float"": [1, 256, 64]}]"
/model/layers.0/self_attn/Unsqueeze_7_kernel_time,Unsqueeze,CPUExecutionProvider,75,1,65536,65536,"[{""float"": [1, 256, 64]}, {""int64"": [1]}]","[{""float"": [1, 1, 256, 64]}]"
/model/layers.0/self_attn/Mul_3_kernel_time,Mul,CPUExecutionProvider,118,34,589824,524288,"[{""float"": [1, 8, 256, 64]}, {""float"": [1, 1, 256, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/rotary_emb/Cos_kernel_time,Cos,CPUExecutionProvider,68,9,65536,65536,"[{""float"": [1, 256, 64]}]","[{""float"": [1, 256, 64]}]"
/model/layers.0/self_attn/Unsqueeze_6_kernel_time,Unsqueeze,CPUExecutionProvider,74,0,65536,65536,"[{""float"": [1, 256, 64]}, {""int64"": [1]}]","[{""float"": [1, 1, 256, 64]}]"
/model/layers.0/self_attn/Mul_2_kernel_time,Mul,CPUExecutionProvider,95,10,589824,524288,"[{""float"": [1, 8, 256, 64]}, {""float"": [1, 1, 256, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/layers.0/self_attn/Add_1_kernel_time,Add,CPUExecutionProvider,123,13,1048576,524288,"[{""float"": [1, 8, 256, 64]}, {""float"": [1, 8, 256, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/layers.0/self_attn/Concat_5_kernel_time,Concat,CPUExecutionProvider,125,22,524288,524288,"[{""float"": [1, 8, 0, 64]}, {""float"": [1, 8, 256, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/layers.0/self_attn/Shape_4_kernel_time,Shape,CPUExecutionProvider,129,1,524288,32,"[{""float"": [1, 8, 256, 64]}]","[{""int64"": [4]}]"
/model/layers.0/self_attn/Gather_6_kernel_time,Gather,CPUExecutionProvider,135,1,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_15_kernel_time,Unsqueeze,CPUExecutionProvider,142,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/layers.0/self_attn/Gather_4_kernel_time,Gather,CPUExecutionProvider,134,0,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_13_kernel_time,Unsqueeze,CPUExecutionProvider,141,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/layers.0/self_attn/Concat_7_kernel_time,Concat,CPUExecutionProvider,148,1,16,40,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [5]}]"
/model/layers.0/self_attn/Equal_kernel_time,Equal,CPUExecutionProvider,151,1,40,5,"[{""int64"": [5]}, {""int64"": [5]}]","[{""bool"": [5]}]"
/model/layers.0/self_attn/Where_kernel_time,Where,CPUExecutionProvider,153,1,45,40,"[{""bool"": [5]}, {""int64"": [5]}, {""int64"": [5]}]","[{""int64"": [5]}]"
/model/layers.0/self_attn/Unsqueeze_12_kernel_time,Unsqueeze,CPUExecutionProvider,130,1,524288,524288,"[{""float"": [1, 8, 256, 64]}, {""int64"": [1]}]","[{""float"": [1, 8, 1, 256, 64]}]"
/model/layers.0/self_attn/Expand_kernel_time,Expand,CPUExecutionProvider,154,79,524328,2097152,"[{""float"": [1, 8, 1, 256, 64]}, {""int64"": [5]}]","[{""float"": [1, 8, 4, 256, 64]}]"
/model/layers.0/self_attn/Concat_8_kernel_time,Concat,CPUExecutionProvider,149,1,16,32,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [4]}]"
/model/layers.0/self_attn/Reshape_4_kernel_time,Reshape,CPUExecutionProvider,155,1,2097184,2097152,"[{""float"": [1, 8, 4, 256, 64]}, {""int64"": [4]}]","[{""float"": [1, 32, 256, 64]}]"
/model/layers.0/self_attn/q_proj/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1983,4305,524293,2097152,"[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""float"": []}, {""uint8"": []}, {""int8"": []}]","[{""float"": [1, 256, 2048]}]"
/model/layers.0/self_attn/Concat_kernel_time,Concat,CPUExecutionProvider,71,1,16,32,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [4]}]"
/model/layers.0/self_attn/Reshape_kernel_time,Reshape,CPUExecutionProvider,78,1,2097184,2097152,"[{""float"": [1, 256, 2048]}, {""int64"": [4]}]","[{""float"": [1, 256, 32, 64]}]"
/model/layers.0/self_attn/Transpose_kernel_time,Transpose,CPUExecutionProvider,86,184,2097152,2097152,"[{""float"": [1, 256, 32, 64]}]","[{""float"": [1, 32, 256, 64]}]"
/model/layers.0/self_attn/Slice_1/GatherSliceToSplitFusion_kernel_time,Split,CPUExecutionProvider,2157,188,2097152,2097152,"[{""float"": [1, 32, 256, 64]}, {""int64"": [2]}]","[{""float"": [1, 32, 256, 32]}, {""float"": [1, 32, 256, 32]}]"
/model/layers.0/self_attn/Neg_kernel_time,Neg,CPUExecutionProvider,106,77,1048576,1048576,"[{""float"": [1, 32, 256, 32]}]","[{""float"": [1, 32, 256, 32]}]"
/model/layers.0/self_attn/Concat_3_kernel_time,Concat,CPUExecutionProvider,112,185,2097152,2097152,"[{""float"": [1, 32, 256, 32]}, {""float"": [1, 32, 256, 32]}]","[{""float"": [1, 32, 256, 64]}]"
/model/layers.0/self_attn/Mul_1_kernel_time,Mul,CPUExecutionProvider,117,168,2162688,2097152,"[{""float"": [1, 32, 256, 64]}, {""float"": [1, 1, 256, 64]}]","[{""float"": [1, 32, 256, 64]}]"
/model/layers.0/self_attn/Mul_kernel_time,Mul,CPUExecutionProvider,94,41,2162688,2097152,"[{""float"": [1, 32, 256, 64]}, {""float"": [1, 1, 256, 64]}]","[{""float"": [1, 32, 256, 64]}]"
/model/layers.0/self_attn/Add_kernel_time,Add,CPUExecutionProvider,122,49,4194304,2097152,"[{""float"": [1, 32, 256, 64]}, {""float"": [1, 32, 256, 64]}]","[{""float"": [1, 32, 256, 64]}]"
/model/layers.0/self_attn/MatMul/MatMulScaleFusion//MatmulTransposeFusion/_kernel_time,FusedMatMul,CPUExecutionProvider,2220,1491,4194304,8388608,"[{""float"": [1, 32, 256, 64]}, {""float"": [1, 32, 256, 64]}]","[{""float"": [1, 32, 256, 256]}]"
/model/layers.0/self_attn/Shape_14_kernel_time,Shape,CPUExecutionProvider,156,1,2097152,32,"[{""float"": [1, 32, 256, 64]}]","[{""int64"": [4]}]"
/model/layers.0/self_attn/Gather_12_kernel_time,Gather,CPUExecutionProvider,158,3,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_30_kernel_time,Unsqueeze,CPUExecutionProvider,160,1,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/embed_tokens/Gather_output_0_DequantizeLinear_kernel_time,DequantizeLinear,CPUExecutionProvider,8,31,524288,2097152,"[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 256, 2048]}]"
/model/Shape_1_kernel_time,Shape,CPUExecutionProvider,9,1,2097152,24,"[{""float"": [1, 256, 2048]}]","[{""int64"": [3]}]"
/model/Gather_1_kernel_time,Gather,CPUExecutionProvider,15,1,24,8,"[{""int64"": [3]}, {""int64"": []}]","[{""int64"": []}]"
/model/Shape_kernel_time,Shape,CPUExecutionProvider,1,0,0,32,"[{""float"": [1, 8, 0, 64]}]","[{""int64"": [4]}]"
/model/Gather_kernel_time,Gather,CPUExecutionProvider,7,0,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
/model/Add_kernel_time,Add,CPUExecutionProvider,22,2,16,8,"[{""int64"": []}, {""int64"": []}]","[{""int64"": []}]"
/model/Range_kernel_time,Range,CPUExecutionProvider,29,2,16,2048,"[{""int64"": []}, {""int64"": []}, {""int64"": []}]","[{""int64"": [256]}]"
/model/Reshape_kernel_time,Reshape,CPUExecutionProvider,33,1,2048,2048,"[{""int64"": [256]}, {""int64"": [2]}]","[{""int64"": [256, 1]}]"
/model/Shape_2_kernel_time,Shape,CPUExecutionProvider,2,0,2048,16,"[{""int64"": [1, 256]}]","[{""int64"": [2]}]"
/model/Gather_2_kernel_time,Gather,CPUExecutionProvider,10,0,16,8,"[{""int64"": [2]}, {""int64"": []}]","[{""int64"": []}]"
/model/Range_1_kernel_time,Range,CPUExecutionProvider,20,1,8,2048,"[{""int64"": []}, {""int64"": []}, {""int64"": []}]","[{""int64"": [256]}]"
/model/Greater_kernel_time,Greater,CPUExecutionProvider,38,72,4096,65536,"[{""int64"": [256]}, {""int64"": [256, 1]}]","[{""bool"": [256, 256]}]"
Cast_1470_kernel_time,Cast,CPUExecutionProvider,42,22,65536,262144,"[{""bool"": [256, 256]}]","[{""float"": [256, 256]}]"
/model/Unsqueeze_kernel_time,Unsqueeze,CPUExecutionProvider,23,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/Unsqueeze_1_kernel_time,Unsqueeze,CPUExecutionProvider,16,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/Concat_kernel_time,Concat,CPUExecutionProvider,27,1,16,16,"[{""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [2]}]"
/model/ConstantOfShape_kernel_time,ConstantOfShape,CPUExecutionProvider,32,17,16,262144,"[{""int64"": [2]}]","[{""float"": [256, 256]}]"
/model/Trilu_kernel_time,Trilu,CPUExecutionProvider,37,3,262144,262144,"[{""float"": [256, 256]}, {""int64"": []}]","[{""float"": [256, 256]}]"
/model/Mul_kernel_time,Mul,CPUExecutionProvider,45,21,524288,262144,"[{""float"": [256, 256]}, {""float"": [256, 256]}]","[{""float"": [256, 256]}]"
/model/Unsqueeze_2_kernel_time,Unsqueeze,CPUExecutionProvider,61,1,262144,262144,"[{""float"": [256, 256]}, {""int64"": [1]}]","[{""float"": [1, 256, 256]}]"
/model/Unsqueeze_3_kernel_time,Unsqueeze,CPUExecutionProvider,65,1,262144,262144,"[{""float"": [1, 256, 256]}, {""int64"": [1]}]","[{""float"": [1, 1, 256, 256]}]"
/model/Gather_3_kernel_time,Gather,CPUExecutionProvider,17,0,24,8,"[{""int64"": [3]}, {""int64"": []}]","[{""int64"": []}]"
/model/Unsqueeze_4_kernel_time,Unsqueeze,CPUExecutionProvider,24,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/Concat_1_kernel_time,Concat,CPUExecutionProvider,28,1,8,32,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [4]}]"
/model/Equal_kernel_time,Equal,CPUExecutionProvider,35,1,32,4,"[{""int64"": [4]}, {""int64"": [4]}]","[{""bool"": [4]}]"
/model/Where_kernel_time,Where,CPUExecutionProvider,40,2,36,32,"[{""bool"": [4]}, {""int64"": [4]}, {""int64"": [4]}]","[{""int64"": [4]}]"
/model/Expand_kernel_time,Expand,CPUExecutionProvider,70,5,262176,262144,"[{""float"": [1, 1, 256, 256]}, {""int64"": [4]}]","[{""float"": [1, 1, 256, 256]}]"
Shape_1525_kernel_time,Shape,CPUExecutionProvider,77,0,262144,32,"[{""float"": [1, 1, 256, 256]}]","[{""int64"": [4]}]"
Gather_1541_kernel_time,Gather,CPUExecutionProvider,84,1,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
Range_1545_kernel_time,Range,CPUExecutionProvider,91,1,8,2048,"[{""int64"": []}, {""int64"": []}, {""int64"": []}]","[{""int64"": [256]}]"
Reshape_1564_kernel_time,Reshape,CPUExecutionProvider,103,1,2048,2048,"[{""int64"": [256]}, {""int64"": [2]}]","[{""int64"": [256, 1]}]"
Gather_1527_kernel_time,Gather,CPUExecutionProvider,83,0,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
Range_1531_kernel_time,Range,CPUExecutionProvider,90,0,8,8,"[{""int64"": []}, {""int64"": []}, {""int64"": []}]","[{""int64"": [1]}]"
Reshape_1560_kernel_time,Reshape,CPUExecutionProvider,102,1,8,8,"[{""int64"": [1]}, {""int64"": [4]}]","[{""int64"": [1, 1, 1, 1]}]"
/model/Add_3_kernel_time,Add,CPUExecutionProvider,114,1,2056,2048,"[{""int64"": [1, 1, 1, 1]}, {""int64"": [256, 1]}]","[{""int64"": [1, 1, 256, 1]}]"
Gather_1548_kernel_time,Gather,CPUExecutionProvider,85,1,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
Range_1552_kernel_time,Range,CPUExecutionProvider,92,0,8,2048,"[{""int64"": []}, {""int64"": []}, {""int64"": []}]","[{""int64"": [256]}]"
/model/Slice_3_kernel_time,Slice,CPUExecutionProvider,101,4,2056,2048,"[{""int64"": [256]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [256]}]"
/model/Add_4_kernel_time,Add,CPUExecutionProvider,119,16,4096,524288,"[{""int64"": [1, 1, 256, 1]}, {""int64"": [256]}]","[{""int64"": [1, 1, 256, 256]}]"
/model/Shape_6_kernel_time,Shape,CPUExecutionProvider,124,0,524288,32,"[{""int64"": [1, 1, 256, 256]}]","[{""int64"": [4]}]"
/model/Equal_2_kernel_time,Equal,CPUExecutionProvider,128,1,32,4,"[{""int64"": [4]}, {""int64"": [4]}]","[{""bool"": [4]}]"
/model/Where_2_kernel_time,Where,CPUExecutionProvider,133,1,36,32,"[{""bool"": [4]}, {""int64"": [4]}, {""int64"": [4]}]","[{""int64"": [4]}]"
/model/Expand_5_kernel_time,Expand,CPUExecutionProvider,140,10,2080,524288,"[{""int64"": [256]}, {""int64"": [4]}]","[{""int64"": [1, 1, 256, 256]}]"
/model/Unsqueeze_14_kernel_time,Unsqueeze,CPUExecutionProvider,147,2,524288,524288,"[{""int64"": [1, 1, 256, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 256, 256, 1]}]"
/model/Expand_4_kernel_time,Expand,CPUExecutionProvider,139,40,2080,524288,"[{""int64"": [256, 1]}, {""int64"": [4]}]","[{""int64"": [1, 1, 256, 256]}]"
/model/Unsqueeze_13_kernel_time,Unsqueeze,CPUExecutionProvider,146,0,524288,524288,"[{""int64"": [1, 1, 256, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 256, 256, 1]}]"
/model/Expand_3_kernel_time,Expand,CPUExecutionProvider,138,32,32,524288,"[{""int64"": [1, 1, 1]}, {""int64"": [4]}]","[{""int64"": [1, 1, 256, 256]}]"
/model/Unsqueeze_12_kernel_time,Unsqueeze,CPUExecutionProvider,145,1,524288,524288,"[{""int64"": [1, 1, 256, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 256, 256, 1]}]"
/model/Expand_2_kernel_time,Expand,CPUExecutionProvider,137,29,40,524288,"[{""int64"": [1, 1, 1, 1]}, {""int64"": [4]}]","[{""int64"": [1, 1, 256, 256]}]"
/model/Unsqueeze_11_kernel_time,Unsqueeze,CPUExecutionProvider,144,1,524288,524288,"[{""int64"": [1, 1, 256, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 256, 256, 1]}]"
/model/Concat_2_kernel_time,Concat,CPUExecutionProvider,150,219,2097152,2097152,"[{""int64"": [1, 1, 256, 256, 1]}, {""int64"": [1, 1, 256, 256, 1]}, {""int64"": [1, 1, 256, 256, 1]}, {""int64"": [1, 1, 256, 256, 1]}]","[{""int64"": [1, 1, 256, 256, 4]}]"
/model/Slice_kernel_time,Slice,CPUExecutionProvider,76,7,262152,262144,"[{""float"": [1, 1, 256, 256]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1, 1, 256, 256]}]"
/model/Unsqueeze_6_kernel_time,Unsqueeze,CPUExecutionProvider,5,0,2048,2048,"[{""int64"": [1, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 256]}]"
/model/Unsqueeze_7_kernel_time,Unsqueeze,CPUExecutionProvider,12,1,2048,2048,"[{""int64"": [1, 1, 256]}, {""int64"": [1]}]","[{""int64"": [1, 1, 1, 256]}]"
/model/Cast_3_kernel_time,Cast,CPUExecutionProvider,19,2,2048,1024,"[{""int64"": [1, 1, 1, 256]}]","[{""float"": [1, 1, 1, 256]}]"
/model/Add_1_kernel_time,Add,CPUExecutionProvider,81,9,263168,262144,"[{""float"": [1, 1, 256, 256]}, {""float"": [1, 1, 1, 256]}]","[{""float"": [1, 1, 256, 256]}]"
/model/Equal_1_kernel_time,Equal,CPUExecutionProvider,89,4,262144,65536,"[{""float"": [1, 1, 256, 256]}, {""float"": []}]","[{""bool"": [1, 1, 256, 256]}]"
/model/Where_1_kernel_time,Where,CPUExecutionProvider,100,22,327680,262144,"[{""bool"": [1, 1, 256, 256]}, {""float"": []}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 1, 256, 256]}]"
/model/Shape_5_kernel_time,Shape,CPUExecutionProvider,82,0,262144,32,"[{""float"": [1, 1, 256, 256]}]","[{""int64"": [4]}]"
/model/Expand_1_kernel_time,Expand,CPUExecutionProvider,108,4,262176,262144,"[{""float"": [1, 1, 256, 256]}, {""int64"": [4]}]","[{""float"": [1, 1, 256, 256]}]"
/model/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,132,1,262176,262144,"[{""float"": [1, 1, 256, 256]}, {""int64"": [4]}]","[{""float"": [1, 1, 256, 256]}]"
/model/ScatterND_kernel_time,ScatterND,CPUExecutionProvider,152,300,2621440,262144,"[{""float"": [1, 1, 256, 256]}, {""int64"": [1, 1, 256, 256, 4]}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 1, 256, 256]}]"
/model/layers.0/self_attn/Slice_4_kernel_time,Slice,CPUExecutionProvider,162,5,262152,262144,"[{""float"": [1, 1, 256, 256]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1, 1, 256, 256]}]"
/model/layers.0/self_attn/Add_2_kernel_time,Add,CPUExecutionProvider,163,526,8650752,8388608,"[{""float"": [1, 32, 256, 256]}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 32, 256, 256]}]"
/model/layers.0/self_attn/Softmax_kernel_time,Softmax,CPUExecutionProvider,164,815,8388608,8388608,"[{""float"": [1, 32, 256, 256]}]","[{""float"": [1, 32, 256, 256]}]"
/model/layers.0/self_attn/v_proj/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1984,1092,524293,524288,"[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""float"": []}, {""uint8"": []}, {""int8"": []}]","[{""float"": [1, 256, 512]}]"
/model/layers.0/self_attn/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,80,1,524320,524288,"[{""float"": [1, 256, 512]}, {""int64"": [4]}]","[{""float"": [1, 256, 8, 64]}]"
/model/layers.0/self_attn/Transpose_2_kernel_time,Transpose,CPUExecutionProvider,88,19,524288,524288,"[{""float"": [1, 256, 8, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/layers.0/self_attn/Concat_6_kernel_time,Concat,CPUExecutionProvider,93,8,524288,524288,"[{""float"": [1, 8, 0, 64]}, {""float"": [1, 8, 256, 64]}]","[{""float"": [1, 8, 256, 64]}]"
/model/layers.0/self_attn/Shape_9_kernel_time,Shape,CPUExecutionProvider,104,0,524288,32,"[{""float"": [1, 8, 256, 64]}]","[{""int64"": [4]}]"
/model/layers.0/self_attn/Gather_10_kernel_time,Gather,CPUExecutionProvider,111,1,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_24_kernel_time,Unsqueeze,CPUExecutionProvider,116,1,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/layers.0/self_attn/Gather_8_kernel_time,Gather,CPUExecutionProvider,110,0,32,8,"[{""int64"": [4]}, {""int64"": []}]","[{""int64"": []}]"
/model/layers.0/self_attn/Unsqueeze_22_kernel_time,Unsqueeze,CPUExecutionProvider,115,0,8,8,"[{""int64"": []}, {""int64"": [1]}]","[{""int64"": [1]}]"
/model/layers.0/self_attn/Concat_9_kernel_time,Concat,CPUExecutionProvider,120,3,16,40,"[{""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""int64"": [5]}]"
